"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579169318063856,0.384881659697832,0.305,0.127,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115665904510533,"7","PI4KA"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000896867130396329,0.369701383611653,0.395,0.177,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179113334611451,"7","TMEM203"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000990587391601514,0.270971506531063,0.974,0.725,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197830207976738,"7","TMBIM6"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991062235301428,0.36439610431563,0.37,0.164,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197925039012048,"7","C1orf123"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035460667443139,0.278574728516657,0.562,0.277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000708184989506929,"7","SDHC"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000427485331813825,0.261285750673792,0.675,0.357,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000085373095616539,"7","C1orf43"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131900876212915,0.32105760884219,0.819,0.471,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000263419239884813,"7","MDH2"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205349408348523,0.451565926164688,0.299,0.125,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410103303412835,"7","UBP1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282025823709002,0.390367581160865,0.383,0.176,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000563233772529249,"7","TAB2"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000292041655074545,0.334239125179874,0.349,0.154,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583236389349374,"7","WSB2"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000318856714564785,0.289663431030917,0.58,0.294,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000636788744657332,"7","NAA10"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000500731973582827,0.292107081188861,0.562,0.282,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001182444226,"7","SP3"
